Stock,Company,Returns1,Volatility,Cluster,Returns
TT,Trane Technologies,0.937536535,37.51999718,3,0.937536535
TTWO,Take-Two Interactive,0.464532825,26.82944337,0,0.464532825
TWTR,Twitter,1.008130081,14.9735651,3,1.008130081
TXN,Texas Instruments,0.694662504,30.23572671,3,0.694662504
TXT,Textron,0.58310165,14.53538362,1,0.58310165
TYL,Tyler Technologies,1.031963565,67.48594889,5,1.031963565
UA,Under Armour (Class C),-0.042609124,4.32496081,2,1
UAA,Under Armour (Class A),0.01677845,5.203946693,2,0.01677845
UAL,United Airlines,-0.482351598,18.89206596,2,1
UDR,UDR,0.106189323,6.887832578,2,0.106189323
UHS,Universal Health Services,-0.067242543,20.52995062,2,1
ULTA,Ulta Beauty,0.552756085,59.08387196,4,0.552756085
UNH,UnitedHealth Group,0.833871842,54.56459922,4,0.833871842
UNP,Union Pacific,0.413463215,25.0538262,0,0.413463215
UPS,United Parcel Service,0.78308911,38.62508074,3,0.78308911
URI,United Rentals,1.767575813,85.24624396,5,1.767575813
USB,U.S. Bancorp,0.109749603,9.887583224,2,0.109749603
V,Visa,0.331073446,21.27662925,0,0.331073446
VFC,VF Corporation,-0.221096696,11.49404666,2,1
VIAC,ViacomCBS,0.051048972,13.94161712,2,0.051048972
VLO,Valero Energy,-0.148178723,16.15741124,2,1
VMC,Vulcan Materials,0.309903815,26.06540011,0,0.309903815
VNO,Vornado Realty Trust,-0.307966462,10.46300388,2,1
VRSK,Verisk Analytics,0.420601006,19.33929011,1,0.420601006
VRSN,Verisign,0.18193081,12.78385121,2,0.18193081
VRTX,Vertex Pharmaceuticals,-0.047333788,30.82999159,0,1
VTR,Ventas,-0.246860757,10.13463735,2,1
VTRS,Viatris,-0.243013722,2.21185518,2,1
VZ,Verizon Communications,-0.129993393,2.334484241,2,1
WAB,Wabtec,0.329462414,11.35742909,1,0.329462414
WAT,Waters Corporation,0.708084281,68.21467692,5,0.708084281
WBA,Walgreens Boots Alliance,-0.093039519,6.846211638,2,1
WDC,Western Digital,-0.044858904,12.38093429,2,1
WEC,WEC Energy Group,-0.036698271,5.039261745,2,1
WELL,Welltower,-0.11013868,14.36663455,2,1
WFC,Wells Fargo,-0.009510765,10.60259461,2,1
WHR,Whirlpool Corporation,0.299246214,41.87530895,0,0.299246214
WLTW,Willis Towers Watson,0.314668507,21.70038452,0,0.314668507
WM,Waste Management,0.422550217,17.06507966,1,0.422550217
WMB,Williams Companies,0.237726125,3.267617244,2,0.237726125
WMT,Walmart,0.258690223,11.54138772,1,0.258690223
WRB,W. R. Berkley Corporation,0.161573261,8.190214167,2,0.161573261
WRK,WestRock,0.292819218,9.658943537,1,0.292819218
WST,West Pharmaceutical Services,2.008461782,90.33610775,5,2.008461782
WU,Western Union,-0.207432361,2.381491282,2,1
WY,Weyerhaeuser,0.2906658,5.769033662,1,0.2906658
WYNN,Wynn Resorts,-0.230125496,23.51979453,2,1
XEL,Xcel Energy,0.003718591,3.934536966,2,0.003718591
XLNX,Xilinx,0.88745693,24.48025104,3,0.88745693
XOM,ExxonMobil,-0.07128377,11.04465272,2,1
XRAY,Dentsply Sirona,0.083553078,8.773978503,2,0.083553078
XYL,Xylem,0.578799553,21.18708884,1,0.578799553
YUM,Yum! Brands,0.153648517,15.08616004,2,0.153648517
ZBH,Zimmer Biomet,0.122699262,17.81186209,2,0.122699262
ZBRA,Zebra Technologies,1.51482856,127.6457948,5,1.51482856
ZION,Zions Bancorp,0.387497379,10.92938803,1,0.387497379
ZTS,Zoetis,0.716917499,26.17303709,3,0.716917499
